n,Expected_n/2,Expected_sqrt(n)
649,2.828,62.647
650,2.94,63.068
651,2.972,61.776
652,3.007,64.306
653,2.971,61.556
654,2.929,64.246
655,2.92,64.025
656,2.943,64.627
657,2.812,62.518
658,3.013,65.547
659,2.851,66.139
660,2.956,63.858
661,2.966,62.697
662,3.038,66.066
663,2.935,65.226
664,2.95,66.838
665,2.845,64.77
666,3.061,64.581
667,2.954,65.744
668,3.075,67.071
669,2.899,64.13
670,2.893,67.525
671,2.978,65.81
672,2.885,66.161
673,2.905,65.653
674,2.898,66.298
675,3.054,67.142
676,2.787,62.616
677,3.026,63.024
678,2.94,64.687
679,2.913,64.891
680,3.067,64.099
681,2.912,63.849
682,2.969,62.588
683,2.879,65.391
684,2.896,63.5
685,2.966,64.76
686,2.814,66.843
687,2.948,65.005
688,3.155,67.181
689,2.96,64.472
690,3.108,64.599
691,3.154,63.824
692,3.011,63.55
693,3.019,64.186
694,2.95,65.052
695,2.926,63.874
696,3.028,66.372
697,3.006,63.495
698,3.029,64.636
699,2.914,66.174
700,2.943,66.238
701,2.888,65.243
702,2.874,68.477
703,2.919,64.488
704,2.992,68.009
705,2.934,65.476
706,2.985,64.803
707,2.966,65.126
708,2.903,66.603
709,2.934,69.315
710,2.955,66.149
711,2.991,66.586
712,2.896,66.819
713,2.972,65.771
714,2.92,66.368
715,2.912,67.091
716,2.853,68.845
717,2.944,66.442
718,2.906,67.385
719,2.985,69.359
720,2.862,67.445
721,2.989,68.442
722,2.825,68.631
723,2.974,70.653
724,2.899,67.344
725,2.922,67.689
726,2.913,67.821
727,3.036,68.146
728,2.929,68.034
729,3.012,64.852
730,3.011,67.29
731,3.075,68.563
732,2.88,68.78
733,2.937,64.288
734,2.969,67.31
735,3.037,66.484
736,2.915,65.773
737,2.973,66.846
738,3.099,69.245
739,2.882,67.779
740,2.991,68.999
741,2.919,67.433
742,3.022,66.407
743,2.894,65.526
744,2.98,65.49
745,2.913,66.991
746,3.04,67.885
747,2.754,68.668
748,3.009,67.85
749,2.843,69.485
750,2.937,67.38
751,2.76,69.859
752,2.948,68.022
753,2.887,69.624
754,2.991,68.694
755,2.911,68.97
756,2.937,71.552
757,3.075,71.545
758,2.919,72.459
759,2.918,69.494
760,2.907,68.629
761,2.972,68.27
762,2.885,69.373
763,3.06,68.285
764,3.019,70.413
765,2.862,71.154
766,2.977,71.746
767,2.943,68.633
768,2.903,71.515
769,2.92,70.222
770,3.06,68.295
771,2.951,67.51
772,2.936,72.333
773,3.004,71.693
774,3.018,69.446
775,2.762,69.609
776,2.908,70.148
777,2.964,70.521
778,2.96,72.071
779,3.095,71.744
780,3.139,72.026
781,2.918,72.098
782,2.921,71.235
783,2.996,69.64
784,2.877,68.784
785,3.074,66.214
786,3.015,68.481
787,3.08,69.4
788,2.87,71.032
789,2.856,68.776
790,2.98,68.051
791,3.116,69.337
792,2.957,66.602
793,2.883,70.721
794,2.972,70.72
795,2.747,70.321
796,2.898,71.952
797,2.91,67.468
798,2.838,68.947
799,2.946,69.863
800,2.881,69.42
801,2.852,72.76
802,2.679,73.05
803,2.964,71.834
804,2.848,69.53
805,2.956,67.843
806,2.952,71.03
807,2.932,70.25
808,3.082,71.135
809,2.998,70.922
810,2.974,73.622
811,3.087,71.509
812,2.9,69.644
813,2.997,68.532
814,2.921,72.219
815,2.902,70.441
816,2.986,73.103
817,2.813,70.721
818,2.786,72.322
819,2.952,71.239
820,2.82,71.657
821,2.794,70.693
822,2.866,72.751
823,2.946,71.974
824,3.152,71.873
825,3.06,71.802
826,2.988,71.936
827,3.131,72.113
828,3.009,71.155
829,2.933,70.119
830,3.036,72.227
831,2.991,73.519
832,2.917,73.504
833,3.066,70.104
834,3.042,74.9
835,2.905,71.141
836,2.94,74.962
837,3.086,70.951
838,3.035,73.372
839,2.926,73.953
840,3.097,75.452
841,2.901,70.864
842,2.981,72.023
843,2.854,70.507
844,3.073,70.485
845,2.965,71.411
846,2.968,71.412
847,2.792,70.397
848,2.935,71.559
849,2.877,73.177
850,2.994,71.433
851,2.943,74.221
852,2.924,73.498
853,2.939,71.954
854,2.87,73.056
855,2.906,73.919
856,2.829,70.729
857,2.858,70.544
858,2.938,75.144
859,2.969,70.334
860,3.014,71.531
861,2.979,74.768
862,2.928,74.743
863,3.002,72.968
864,2.737,75.878
865,2.865,72.151
866,2.953,74.72
867,3.068,72.381
868,2.935,73.83
869,2.832,74.965
870,2.805,73.867
871,2.873,74.78
872,2.851,73.169
873,2.946,76.688
874,3.009,76.508
875,2.989,75.202
876,2.912,72.614
877,2.999,74.62
878,2.893,74.278
879,2.91,75.429
880,2.962,75.246
881,2.926,72.438
882,2.874,76.017
883,3.014,75.344
884,2.931,77.61
885,3.094,78.069
886,2.787,75.508
887,3.039,75.83
888,2.98,76.479
889,2.902,76.268
890,2.782,79.924
891,2.994,77.057
892,2.879,77.501
893,2.973,76.235
894,3.028,77.017
895,2.978,75.894
896,2.891,75.971
897,3.024,76.262
898,2.959,77.635
899,3.091,75.732
900,2.932,73.1
901,2.89,72.638
902,2.889,74.189
903,2.793,73.077
904,3.024,73.228
905,2.898,73.257
906,2.869,72.908
907,2.943,74.264
908,3.007,75.762
909,2.987,72.912
910,3.016,76.876
911,2.856,75.641
912,2.872,76.895
913,3.03,73.918
914,3.055,74.076
915,2.798,73.956
916,2.892,75.577
917,3.001,73.766
918,3.006,76.938
919,3.018,75.488
920,2.9,76.933
921,2.836,73.742
922,2.957,73.688
923,2.879,75.307
924,2.913,74.72
925,2.693,76.878
926,2.922,76.502
927,2.955,77.845
928,2.932,80.944
929,2.912,78.052
930,3.099,79.387
931,2.997,77.432
932,2.7,77.774
933,2.735,76.847
934,2.968,79.061
935,2.966,80.2
936,2.973,77.144
937,2.946,75.347
938,2.976,78.032
939,2.9,77.543
940,2.893,80.551
941,2.949,77.306
942,3.11,78.813
943,2.854,77.42
944,2.977,77.85
945,2.826,77.616
946,3.079,77.69
947,2.986,81.874
948,2.767,76.502
949,2.903,77.172
950,3.029,79.863
951,2.901,79.809
952,2.859,80.601
953,2.887,78.749
954,2.983,80.25
955,2.908,79.622
956,2.871,77.182
957,3.034,79.918
958,2.903,81.249
959,2.932,78.008
960,2.931,80.333
961,2.894,75.986
962,2.955,76.583
963,2.909,76.68
964,2.854,78.34
965,3.004,74.035
966,2.895,77.86
967,2.85,77.238
968,2.892,76.816
969,2.977,77.916
970,2.992,77.066
971,2.921,78.548
972,2.976,75.886
973,3.037,75.728
974,2.895,77.961
975,2.87,77.939
976,2.982,78.346
977,3.078,78.161
978,2.976,77.726
979,2.939,76.538
980,2.79,77.604
981,2.898,77.18
982,2.861,78.497
983,3.149,79.065
984,2.963,75.448
985,2.872,77.903
986,2.804,79.399
987,2.718,77.295
988,2.88,78.308
989,3.101,77.587
990,2.965,79.913
991,2.999,80.499
992,3.025,78.689
993,2.811,77.601
994,2.889,78.688
995,3.161,78.015
996,2.829,80.587
997,3.008,76.125
998,2.988,80.653
999,3.03,80.052
1000,2.901,81.348
